"year","ssp126_global_cm","ssp245_global_cm","ssp585_global_cm","subsidence_component_cm","ssp126_relative_cm","ssp245_relative_cm","ssp585_relative_cm","ssp126_lo80","ssp126_hi80","ssp126_lo95","ssp126_hi95","ssp245_lo80","ssp245_hi80","ssp245_lo95","ssp245_hi95","ssp585_lo80","ssp585_hi80","ssp585_lo95","ssp585_hi95"
2062,21.1,30.72,45.52,42.9816666666667,64.0816666666667,73.7016666666667,88.5016666666667,62.5809485655231,65.5823847678102,61.7865163908065,66.3768169425268,72.2009485655231,75.2023847678102,71.4065163908065,75.9968169425268,87.0009485655231,90.0023847678102,86.2065163908065,90.7968169425268
2063,21.4,31.28,46.48,44.1433333333333,65.5433333333333,75.4233333333333,90.6233333333333,64.0229971694599,67.0636694972068,63.2181798196552,67.8684868470115,73.9029971694599,76.9436694972068,73.0981798196552,77.7484868470115,89.1029971694599,92.1436694972068,88.2981798196552,92.9484868470115
2064,21.7,31.84,47.44,45.305,67.005,77.145,92.745,65.4652957156444,68.5447042843556,64.6502255021852,69.3597744978148,75.6052957156444,78.6847042843556,74.7902255021852,79.4997744978148,91.2052957156444,94.2847042843556,90.3902255021852,95.0997744978148
2065,22,32.4,48.4,46.4666666666667,68.4666666666667,78.8666666666667,94.8666666666667,66.9078348876268,70.0254984457065,66.0826391901161,70.8506941432172,77.3078348876268,80.4254984457066,76.4826391901161,81.2506941432172,93.3078348876268,96.4254984457066,92.4826391901161,97.2506941432172
2066,22.3,32.96,49.36,47.6283333333333,69.9283333333333,80.5883333333333,96.9883333333333,68.3506059337404,71.5060607329262,67.5154074989288,72.3412591677379,79.0106059337404,82.1660607329263,78.1754074989288,83.0012591677379,95.4106059337404,98.5660607329262,94.5754074989288,99.4012591677379
2067,22.6,33.52,50.32,48.79,71.39,82.31,99.11,69.7936006202996,72.9863993797004,68.9485178362876,73.8314821637124,80.7136006202996,83.9063993797004,79.8685178362876,84.7514821637124,97.5136006202996,100.7063993797,96.6685178362876,101.551482163712
2068,22.9,34.08,51.28,49.9516666666667,72.8516666666667,84.0316666666667,101.231666666667,71.236811189669,74.4665221436643,70.3819583379131,75.3213749954202,82.416811189669,85.6465221436643,81.5619583379131,86.5013749954202,99.616811189669,102.846522143664,98.7619583379131,103.70137499542
2069,23.2,34.64,52.24,51.1133333333333,74.3133333333333,85.7533333333333,103.353333333333,72.6802303225986,75.9464363440681,71.8157178099784,76.8109488566883,84.1202303225986,87.3864363440681,83.2557178099783,88.2509488566883,101.720230322599,104.986436344068,100.855717809978,105.850948856688
2070,23.5,35.2,53.2,52.275,75.775,87.475,105.475,74.1238511043057,77.4261488956943,73.2497856772359,78.3002143227641,85.8238511043057,89.1261488956943,84.9497856772359,90.0002143227641,103.823851104306,107.126148895694,102.949785677236,108.000214322764
2071,23.8,35.76,54.16,53.4366666666667,77.2366666666667,89.1966666666667,107.596666666667,75.5676669938584,78.9056663394749,74.6841519361937,79.7891813971397,87.5276669938584,90.8656663394749,86.6441519361937,91.7491813971397,105.927666993858,109.265666339475,105.044151936194,110.14918139714
2072,24.1,36.32,55.12,54.5983333333333,78.6983333333333,90.9183333333333,109.718333333333,77.0116717964755,80.3849948701912,76.1188071127512,81.2778595539154,89.2316717964755,92.6049948701912,88.3388071127512,93.4978595539154,108.031671796475,111.404994870191,107.138807112751,112.297859553915
2073,24.4,36.88,56.08,55.76,80.16,92.64,111.84,78.4558596384108,81.8641403615892,77.5537422237891,82.7662577762109,90.9358596384108,94.3441403615892,90.0337422237891,95.2462577762109,110.135859638411,113.544140361589,109.233742223789,114.446257776211
2074,24.7,37.44,57.04,56.9216666666667,81.6216666666667,94.3616666666667,113.961666666667,79.9002249441332,83.3431083892001,78.9889487422683,84.2543845910651,92.6402249441332,96.0831083892001,91.7289487422683,96.9943845910651,112.240224944133,115.6831083892,111.328948742268,116.594384591065
2075,25,38,58,58.0833333333333,83.0833333333333,96.0833333333333,116.083333333333,81.3447624155504,84.8219042511162,80.4244185654557,85.7422481012109,94.3447624155504,97.8219042511162,93.4244185654557,98.7422481012109,114.34476241555,117.821904251116,113.424418565456,118.742248101211
